DW Product,product_id,product_category_name,product_weight_g,Product_status_to_Delete,Weight_Category
1,fffe9eeff12fcbd74a2f2b007dde0c58,Art,3900,in stock,Medium
2,fffdb2d0ec8d6a61f0a0a0db3f25b441,Sports,150,in stock,Light
3,fff9553ac224cec9d15d49f5a263411f,Toys,150,in stock,Light
4,fff81cc3158d2725c0655ab9ba0f712c,Accessories,58,in stock,Light
5,fff6177642830a9a94a0f2cba5e476d1,Shoes,1400,in stock,Medium
6,fff515ea94dbf35d54d256b3e39f0fea,Furniture,450,in stock,Light
7,fff28f91211774864a1000f918ed00cc,Art,200,in stock,Light
8,fff1059cd247279f3726b7696c66e44e,Musical Instruments,421,in stock,Light
9,fff0a542c3c62682f23305214eaeaa24,Toys,300,in stock,Light
10,ffef256879dbadcab7e77950f4f4a195,Kitchen Products,450,in stock,Light
11,ffedbd68fa6f44e788ff6c2db8094715,Bathroom,450,in stock,Light
12,ffeb228c521d5464d1f71444da96c446,Accessories,200,in stock,Light
13,ffe9468f4d890db80b7231e86931ff37,Accessories,17000,in stock,Heavy
14,ffe8083298f95571b4a66bfbc1c05524,Art,1350,in stock,Medium
15,ffe75578163d45caa52bca3529cb511e,Pets,350,in stock,Light
16,ffe0fc4e02c3559643ac063fa5cf9d07,Pets,1525,in stock,Medium
17,ffe013e1b4603e3b0b02fbb159d5b400,Art,6600,in stock,Heavy
18,ffdde3d63e889c9a9f9ec30d82a4c815,Clothing,21600,out of stock,Heavy
19,ffd9ac56db9194a413298faaa03cd176,Jewelry,600,low stock,Light
20,ffd7628b0b0b98ebc549e8e4c54a59af,Accessories,717,in stock,Light
21,ffd63ee42a5c8cc5a15a1c8e2aa50011,Gadgets,5200,in stock,Heavy
22,ffd60d515c690a976c497e75cd2336f4,Books,250,in stock,Light
23,ffd4bf4306745865e5692f69bd237893,Musical Instruments,150,out of stock,Light
24,ffd34459c21034d1da6df9800de0d7a3,Art,150,in stock,Light
25,ffd259a48b9b073c942884d0f3659566,Gadgets,400,in stock,Light
26,ffd246249e3225c13f40b5b91dcaa65a,Sports,850,out of stock,Light
27,ffd2365fb8224dc66883df9351d65deb,Gadgets,333,in stock,Light
28,ffcfaba393e8ef71937c6e8421bc2868,Toys,19800,in stock,Heavy
29,ffce5ed9e0bcc2e46796b988cdac733b,Accessories,600,in stock,Light
30,ffccf0ce5eff1a158891296990107d08,Musical Instruments,950,in stock,Light
31,ffc9d90bae2127e6a6ce6d6654267ebd,Pets,300,in stock,Light
32,ffc9caf33e2d1e9f44e3e06da19085f7,Decor,2134,in stock,Medium
33,ffc88104d219c1b767d566fd93653dd2,Books,675,in stock,Light
34,ffc48c754b5bd736e2887e279d1dec72,Jewelry,11050,in stock,Heavy
35,ffc0b406806006602c5853b00ab5f7fd,Bathroom,4450,in stock,Medium
36,ffbfe460c6f140cdbe4f494be6dd43be,Gadgets,2350,in stock,Medium
37,ffbfa9e143fda4420454d0f4e88a3cd5,Art,793,in stock,Light
38,ffbe3df3856b1fef3fee8f1264105a89,Gadgets,250,low stock,Light
39,ffbe169d395060d7fb975c990581a329,Home Design,700,out of stock,Light
40,ffbceea72c6f921df4bb547275b9ca14,Accessories,350,in stock,Light
41,ffbc83054b3741a8d67fc59d9cf9d42d,Jewelry,800,out of stock,Light
42,ffbbf6b9097237a1122f17e7341a3fb2,Home Design,250,in stock,Light
43,ffbb3c00e9687ad738ace3977e821da5,Gadgets,2350,in stock,Medium
44,ffb97eb64c6fe1baada2410288c04457,Toys,390,in stock,Light
45,ffb64e34a37740dafb6c88f1abd1fa61,Gadgets,700,in stock,Light
46,ffb530bd30bcc1bd903e4da723faa5e6,Toys,1800,in stock,Medium
47,ffb2e8c1ddc7c3e590d2bc4c91de53e1,Appliances,600,in stock,Light
48,ffb2a783fe9381154e13bb3457651996,Shoes,5300,in stock,Heavy
49,ffaf0af7eebb57c7f262b51ebb05dfd6,Art,1255,low stock,Medium
50,ffae6024df16802ba75f761d9aa24367,Decor,150,in stock,Light
51,ffade53cc6541c89321fff351e04751a,Furniture,1050,in stock,Medium
52,ffadc6f8aa93aadfea73b1348a058358,Gadgets,1000,in stock,Light
53,ffad988078a64af484dfbc5f494d12ac,Toys,150,in stock,Light
54,ffaaddefb271481c66d4bd79844ecdae,Gadgets,200,out of stock,Light
55,ffa8916ae85546ee99d1965b28e447ae,Books,27800,in stock,Heavy
56,ffa7e0cbe11656d11a117b534bb1db27,Accessories,100,out of stock,Light
57,ffa5d8273d8e03363bb4014de3f89dce,Clothing,1150,in stock,Medium
58,ffa4ff381e25872b5bf85353ff7ab0c9,Furniture,30000,in stock,Heavy
59,ffa4027b0effa4df0d5f5a9ce2788b6d,Gadgets,2100,in stock,Medium
60,ffa255211c5d16ec8ebadcb5729c96ce,Appliances,100,in stock,Light
61,ffa1ce7f2a287ca5e369673bd77d43de,Books,1000,in stock,Light
62,ffa0824a2b01e5ce24d6883413b72f14,Pets,500,in stock,Light
63,ff9fa77f938462abd16b53c0d934099f,Accessories,300,in stock,Light
64,ff9dfd2acec3dff6be51b4d28bed8768,Jewelry,500,in stock,Light
65,ff9a23dcd6b233811bd2a7be174a8e4c,Makeup,150,in stock,Light
66,ff96895c6b1d31f34b2d82f86670fa85,Books,2450,in stock,Medium
67,ff95ac47246ef13e48712ea1ff8df0d9,Decor,5300,in stock,Heavy
68,ff92ca9bb0b3f4ec00a9b76c9f68cb3a,Decor,1925,out of stock,Medium
69,ff9240e1887b9c59757142080b2c8d79,Clothing,450,in stock,Light
70,ff92322b0148cca0038e11e0d34f6f62,Toys,7100,in stock,Heavy
71,ff922797a6771cab4e0c51d482285ec3,Gadgets,1725,low stock,Medium
72,ff90ba6020fbb7d7f56613e213e9dc57,Decor,3400,in stock,Medium
73,ff907ae86deaa05b65cfb3b14166e7c7,Clothing,1400,in stock,Medium
74,ff9032482857269e8683f0c2f8ba4709,Gadgets,50,in stock,Light
75,ff8ff756fe1137ed22300ccd2190703a,Musical Instruments,200,in stock,Light
76,ff8f6ec909e03ac8d9f6d82a10031c0c,Decor,1600,in stock,Medium
77,ff8ee90ee3170de57403d2d5af1e2c2e,Books,50,in stock,Light
78,ff8ece719f2d16180dbf891250635093,Kitchen Products,1867,in stock,Medium
79,ff8e9a180c931adab01ed6b3c44edc25,Jewelry,4200,in stock,Medium
80,ff8bd09f659b88af06fdfea61a8b7b45,Furniture,100,in stock,Light
81,ff8bb42702f38636b348fd7e2332ce2f,Gadgets,100,in stock,Light
82,ff8b5a5f01bf21afd7d49b4688ca6d1f,Clothing,300,low stock,Light
83,ff85ff517698c3fe8b200afddda7fb3a,Toys,1200,out of stock,Medium
84,ff81cd23251a357a120054397a01849f,Appliances,700,in stock,Light
85,ff817f0901191fbe02933928daa95e6e,Furniture,725,in stock,Light
86,ff80f0538290775336ee74b4997a855c,Makeup,333,low stock,Light
87,ff7fccf8513f360157f0660fe51d1d88,Home Design,1500,in stock,Medium
88,ff7cbf1b6efcbdb616eaf4e90ca7a467,Accessories,100,in stock,Light
89,ff7c7524d5f9a8386ab27088ec03c1fb,Gadgets,1000,in stock,Light
90,ff7b4560eaf93a8848cd5fde641f39c6,Art,250,in stock,Light
91,ff7ac89ca5b77d0fb5f8a65262d73956,Jewelry,1000,out of stock,Light
92,ff7aa48b8bc68495866b40c4010d58c9,Shoes,1800,in stock,Medium
93,ff7a70b3356d433014b7d6957ed196cb,Appliances,16400,low stock,Heavy
94,ff7885ae23429394b64526e957ec809d,Books,11825,in stock,Heavy
95,ff7824d83aca56224fa3e3b524748ec5,Kitchen Products,600,in stock,Light
96,ff7263dfb3cfff5421ada48c3899c313,Makeup,1100,in stock,Medium
97,ff724c4888bdcfb01e7028066db3bb98,Shoes,500,in stock,Light
98,ff6caf9340512b8bf6d2a2a6df032cfa,Accessories,200,in stock,Light
99,ff6a816ae8a01312fe42dc48c7c8ead1,Furniture,417,in stock,Light
100,ff678388090fbae683a9a271480fb7f3,Clothing,300,in stock,Light
101,ff62ab4c255754dd5cfbd1822cd97b40,Bathroom,11850,in stock,Heavy
102,ff62353dc0792586fbf5eefd8dc7d4f2,Appliances,100,in stock,Light
103,ff6154cee42bf2718cca4865f0620e04,Books,600,in stock,Light
104,ff60ce007cb42cd9786f49d262a97672,Appliances,200,in stock,Light
105,ff5f8606556b625613f069a5a9a48966,Art,2300,in stock,Medium
106,ff5ecb2f7628793844e861076ab8e467,Sports,450,in stock,Light
107,ff5d87897ed26d564711df324b98ebee,Furniture,350,in stock,Light
108,ff5d7f21d255435967dfbe72b5dcdb57,Makeup,167,in stock,Light
109,ff5bdcc63751127e726cb69cff0cb5de,Musical Instruments,2150,in stock,Medium
110,ff55834c0b3272853dfe62340f2bb91b,Jewelry,250,in stock,Light
111,ff50a7795bf14586aeb06610fae49095,Furniture,2100,in stock,Medium
112,ff4f5b008c32f80c3f952b2b56a28e04,Decor,1600,in stock,Medium
113,ff4f41437ea37fc126d110853404b625,Art,100,in stock,Light
114,ff4c53f24709771879d01232ae305cac,Pets,5750,in stock,Heavy
115,ff4c1a248a5110d784de5c67a9106d67,Musical Instruments,1150,in stock,Medium
116,ff46e29063ede0062c2cfb22f05b54ef,Decor,200,in stock,Light
117,ff469d5a015226354ab92a85c8c46537,Jewelry,933,in stock,Light
118,ff4580bbb95dbae914ec0a9b76b0a5c4,Clothing,150,low stock,Light
119,ff415a8a6bfbaf8244f4ee0c7c30d905,Decor,1500,in stock,Medium
120,ff40459ce8252a72f01615a9aca8b877,Clothing,1300,in stock,Medium
121,ff3fd6df22de9102d81c4a963a694629,Bathroom,200,in stock,Light
122,ff3fb423134042fbbca486b9790b4521,Appliances,83,in stock,Light
123,ff3ec972ebd16eb98d55e8ea2fa255ee,Decor,2488,in stock,Medium
124,ff3ac832869618856979ed4f8d770d4d,Art,800,in stock,Light
125,ff39fa912acf02a733de1b0cf84e779e,Sports,5850,in stock,Heavy
126,ff37b24bee4345bc69d11fae0e6cd3da,Clothing,20450,in stock,Heavy
127,ff351cfcb7d6612f887fb0a230dfaf34,Toys,300,in stock,Light
128,ff34f05b00e8638201e04d2d0651c663,Accessories,2350,in stock,Medium
129,ff3377c7e76bb050877c8a7c28d7525f,Home Design,2000,in stock,Medium
130,ff2c1ec09b1bb340e84f0d6b21cc7dbb,Decor,500,out of stock,Light
131,ff2b293ae4b3c204113bdec91e27a584,Gadgets,150,low stock,Light
132,ff29d8cb1cd0cd5ea37b80dac9939e1c,Books,200,in stock,Light
133,ff285e6c96040323d3763dd184924018,Appliances,150,in stock,Light
134,ff28477a5bcb2fc34bb86a6c2eea1566,Home Design,1250,out of stock,Medium
135,ff274e9a1f40c1c9bc8a2069af3a0084,Shoes,1875,in stock,Medium
136,ff26b56ca9aba312af54ea3f368af943,Musical Instruments,500,in stock,Light
137,ff26009ac6b838dc6cffa2d589cdbefb,Sports,3500,in stock,Medium
138,ff25a6dd5b0db59bf1f8977c272270d0,Bathroom,750,in stock,Light
139,ff1f1de0f05e0ec5b2d721e2fb425b0c,Appliances,2100,in stock,Medium
140,ff1b8d53a1563c1f27a3d99e740ceaa9,Makeup,800,in stock,Light
141,ff185e3474ddf11f1c87316de80f24b7,Art,200,in stock,Light
142,ff14b42e6c031d90825f40f2b1089185,Sports,3474,in stock,Medium
143,ff149b3dcc3813d4644fa2610307d071,Art,200,in stock,Light
144,ff10c736ab3996711b7bf8eebaa6f474,Accessories,150,in stock,Light
145,ff0c8d7cbe636d47cf905e12dfee9927,Art,500,out of stock,Light
