DW Seller,seller_id,seller_city,seller_state,Seller_Gender,Seller_Birthdate,seller_size_category,Age ,Age-Group
1,3442f8959a84dea7ee197c632cb2df15,campinas,SP,F,1972-01-20,small,53,41-60
2,d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,SP,M,1980-12-18,large,45,41-60
3,ce3ad9de960102d0677a81f5d0bb7b2d,rio de janeiro,RJ,F,2004-09-12,small,21,18-24
4,c0f3eea2e14555b6faeea3dd58c1b1c3,sao paulo,SP,M,1997-12-21,small,28,25-30
5,51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,SP,F,1983-12-28,small,42,41-60
6,c240c4061717ac1806ae6ee72be3533b,rio de janeiro,RJ,M,2002-01-07,small,23,18-24
7,e49c26c3edfa46d227d5121a6b6e4d37,brejao,PE,M,1994-03-20,large,31,31-40
8,1b938a7ec6ac5061a66a3766e0e75f90,penapolis,SP,F,2000-02-18,medium,25,18-24
9,768a86e36ad6aae3d03ee3c6433d61df,sao paulo,SP,M,1997-08-10,medium,28,25-30
10,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,M,1994-08-07,large,31,31-40
11,8cb7c5ddf41f4d506eba76e9a4702a25,anapolis,GO,F,1979-02-05,small,46,41-60
12,a7a9b880c49781da66651ccf4ba9ac38,itirapina,SP,F,1998-10-08,small,27,25-30
13,8bd0f31cf0a614c658f6763bd02dea69,sao paulo,SP,M,1999-01-02,large,26,25-30
14,05a48cc8859962767935ab9087417fbb,sao paulo,SP,F,1989-08-26,small,36,31-40
15,7b8e8ec35bad4b0ef7e3963650b0a87b,tubarao,SC,M,2006-05-24,small,19,18-24
16,1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,M,2000-02-22,small,25,18-24
17,166e8f1381e09651983c38b1f6f91c11,imbituba,SC,M,1968-11-03,small,57,41-60
18,e38db885400cd35c71dfd162f2c1dbcf,brasilia,DF,M,1997-04-08,medium,28,25-30
19,d2e753bb80b7d4faa77483ed00edc8ca,porto seguro,BA,M,1999-01-04,medium,26,25-30
20,f9ec7093df3a7b346b7bcf7864069ca3,sao paulo,SP,M,2003-02-01,medium,22,18-24
21,4e6015589b781adaa5ce7f1892d06bb1,guaruja,SP,F,2006-04-08,small,19,18-24
22,4cf490a58259286ada5ba8525ba9e84a,tabatinga,SP,M,1995-10-28,medium,30,25-30
23,f7496d659ca9fdaf323c0aae84176632,sao paulo,SP,F,2002-11-19,medium,23,18-24
24,2ff97219cb8622eaf3cd89b7d9c09824,salto,SP,F,2001-06-10,large,24,18-24
25,8bd0e3abda539b9479c4b44a691be1ec,tres de maio,RS,M,1996-02-08,medium,29,25-30
26,2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,MG,M,1996-10-19,large,29,25-30
