DW Includes,order_id,order_item_id,shipping_limit_date,price,freight_value,customer_unique_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,order_status,Total_Item_Amount,Customer_Age_At_Order,Order_Gap,DW Review,DW Customer,DW Product,DW Seller,ON_TIME,product_type,seller_state,repeat_customer
1,010d14f76a229c295260e4ca4744acc7,1,2017-09-19 09:45:00,58.9,13.29,cb8fde758b25902db18315240ebd9b07,2017-12-01 19:46:00,2017-12-18 16:43:00,2017-12-29,delivered,72.19,25,17.0,1,310,1,1,1,Art,SP,1
2,01ba9a2e5dcc1568b55695106d677b0c,1,2017-05-03 11:05:00,239.9,19.93,97258e1c1f77f32358eccd1c9ee5954d,2017-02-26 22:28:00,2017-03-06 14:22:00,2017-03-20,delivered,259.83,20,8.0,2,66,2,2,1,Sports,SP,1
3,01e71f17355fc56620b0d3678f796c42,1,2018-01-18 14:48:00,199.0,17.87,e90a1b194724309bbaa6228c398d1748,2018-04-18 22:19:00,2018-05-22 21:12:00,2018-05-18,delivered,216.87,22,34.0,3,115,3,3,0,Toys,RJ,0
4,022d47e6dd2e127493b8f51c8408078c,1,2018-08-15 10:10:00,12.99,12.79,4dfa53e424b44b9dcb3965683078712d,2018-01-13 17:33:00,2018-01-22 17:10:00,2018-02-05,delivered,25.78,21,9.0,4,283,4,4,1,Accessories,SP,1
5,0231382a78f19752dabca6a86b618152,1,2017-02-13 13:57:00,199.9,18.14,72061fff095d8325b311ea24e2f4a2b5,2017-03-09 21:17:00,2017-03-23 12:42:00,2017-03-28,delivered,218.04000000000002,37,14.0,5,273,5,5,1,Shoes,SP,1
6,0256530d814cde05587fcd8e1b992bc8,1,2017-05-23 03:55:00,21.9,12.69,74c286ab8cc161142213780711964b06,2017-09-28 23:57:00,2017-10-27 19:42:00,2017-10-26,delivered,34.589999999999996,44,29.0,6,58,6,6,0,Furniture,RJ,0
7,0286e258217733541e80588e29c208c1,1,2017-12-14 12:10:00,19.9,11.85,2cac9c1a43808ace14f1598744f4a28a,2017-10-08 20:37:00,2017-10-21 00:34:00,2017-11-13,delivered,31.75,36,13.0,7,169,7,7,1,Art,PE,1
8,02cdf0f2b05845468fdf0c104e24ae17,1,2018-07-10 12:30:00,810.0,70.75,66d201c13937598dd4e036788a10a203,2018-08-17 23:24:00,2018-08-30 15:37:00,2018-09-28,delivered,880.75,24,13.0,8,286,8,8,1,Musical Instruments,SP,1
9,030e234a82944425a6f46d5b2552b848,1,2018-03-26 18:31:00,145.95,11.65,3c9e98b59c61b1ccdba1108eca8c61d4,2017-03-06 16:37:00,2017-03-30 14:48:00,2017-04-06,delivered,157.6,19,24.0,9,108,9,9,1,Toys,SP,1
10,03104945dce5c57f748dbb3dbd62daeb,1,2018-07-06 14:10:00,53.99,11.4,46dd28b3f7e33b789acf42d3093b7773,2018-06-27 22:22:00,2018-07-10 16:41:00,2018-07-20,delivered,65.39,19,13.0,10,190,10,10,1,Kitchen Products,PR,1
