DW Review,product_id,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,review_word_count,review_response_days,review_positive_flag,DW Product,REVIEW_DETAIL_LEVEL
1,fffe9eeff12fcbd74a2f2b007dde0c58,001ce468e08e9ee56753421128bec6f4,5,,,2018-07-21 00:00:00,2018-07-24 11:57:00,0,3.4979166666671517,1,1,no text
2,fffdb2d0ec8d6a61f0a0a0db3f25b441,00390430316d2ec6557b4c9b4213da4e,5,,,2017-03-08 00:00:00,2017-03-09 10:00:00,0,1.4166666666642413,1,2,no text
3,fff9553ac224cec9d15d49f5a263411f,004580d2657b221e45f84f4169675ecd,5,,,2018-08-11 00:00:00,2018-08-11 18:03:00,0,0.7520833333328483,1,3,no text
4,fff81cc3158d2725c0655ab9ba0f712c,00464414d48a3c1bc10b0466ef965106,4,,,2018-08-17 00:00:00,2018-08-18 01:32:00,0,1.0638888888861402,1,4,no text
5,fff6177642830a9a94a0f2cba5e476d1,0090eb2a29946f932f1f7af8cbbcf9c0,5,,O produto chegou antes do prazo e em perfeitas condições. ,2017-10-30 00:00:00,2017-10-30 18:37:00,10,0.7756944444408873,1,5,short review
6,fff515ea94dbf35d54d256b3e39f0fea,00a1b1c8636bce2a676e93c203c1d585,4,,satisfeito eu recomendo,2017-06-06 00:00:00,2017-06-08 12:44:00,3,2.530555555553292,1,6,short review
7,fff28f91211774864a1000f918ed00cc,0139a3c30b3f7adc938fcfbf7ef77254,1,,Quero saber dos demais produtos eram 3 itens,2018-04-28 00:00:00,2018-04-29 00:43:00,8,1.0298611111138598,0,7,short review
8,fff1059cd247279f3726b7696c66e44e,0185df4755be7045d22b951fba4a4b58,3,,,2018-08-24 00:00:00,2018-08-26 22:08:00,0,2.922222222223354,0,8,no text
9,fff0a542c3c62682f23305214eaeaa24,02303acbf32fcc6401f552eaef2bf19f,5,,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",2017-10-06 00:00:00,2017-10-06 19:15:00,9,0.8020833333357587,1,9,short review
10,ffef256879dbadcab7e77950f4f4a195,02458b01a713491f771cf60ad071ac3f,5,,,2018-06-28 00:00:00,2018-06-30 15:09:00,0,2.631249999998545,1,10,no text
11,ffedbd68fa6f44e788ff6c2db8094715,0272d07f5d34a8c3d31272e7ff967e7b,3,,"A bolsa e muito bonita por fora_x000D_
Mas dentro não tem forro _x000D_
E é bem fragil _x000D_
",2018-01-23 00:00:00,2018-01-24 18:21:00,16,1.7645833333299379,0,11,long review
12,ffeb228c521d5464d1f71444da96c446,02aa1cb277f0b399f8f510d844398a3f,3,,Muito bom,2017-06-16 00:00:00,2017-06-17 01:58:00,2,1.0819444444423425,0,12,short review
13,ffe9468f4d890db80b7231e86931ff37,02dae59a597c87b10313d8d7191a2dfa,3,Bom ,Muito bom.,2018-07-24 00:00:00,2018-07-25 13:59:00,2,1.5826388888890506,0,13,short review
14,ffe8083298f95571b4a66bfbc1c05524,03215247632c5bc4a925c524d0a154ec,5,,,2018-03-14 00:00:00,2018-03-15 11:32:00,0,1.4805555555576575,1,14,no text
15,ffe75578163d45caa52bca3529cb511e,032cfb72d792d30b6181b482d85f8d1a,5,Tudo certo!,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",2018-07-12 00:00:00,2018-07-13 02:40:00,18,1.1111111111094942,1,15,long review
16,ffe0fc4e02c3559643ac063fa5cf9d07,032d379803844fa08d2063909fa526fc,5,,Produto entregue dentro do prazo .,2018-03-17 00:00:00,2018-03-21 14:21:00,6,4.5979166666656965,1,16,short review
17,ffe013e1b4603e3b0b02fbb159d5b400,033fb23c97ecb11c0548f4763bef5773,5,,,2017-12-29 00:00:00,2017-12-29 19:51:00,0,0.8270833333299379,1,17,no text
18,ffdde3d63e889c9a9f9ec30d82a4c815,035cdc5e7ad5192da517cd947ed17a98,5,Excelente Loja,,2018-08-21 00:00:00,2018-08-22 12:13:00,0,1.5090277777781012,1,18,no text
19,ffd9ac56db9194a413298faaa03cd176,036bac7dcf336feff8ee82009a67b01d,5,,,2018-02-28 00:00:00,2018-03-02 01:26:00,0,2.0597222222204437,1,19,no text
20,ffd7628b0b0b98ebc549e8e4c54a59af,03b3143cc596bb50864988b76106a418,3,,"As bolsas são lindas por fora, a cor é bem próxima da foto, mas por dentro não tem o forro da descrição e o acabamento deixou um pouco a desejar, no mais a entrega foi super rápida ",2017-10-28 00:00:00,2017-10-28 22:08:00,37,0.922222222223354,0,20,long review
21,ffd63ee42a5c8cc5a15a1c8e2aa50011,042cc1dce52180def6df9349b817ae86,3,,,2018-07-10 00:00:00,2018-07-10 21:15:00,0,0.8854166666642413,0,21,no text
22,ffd60d515c690a976c497e75cd2336f4,04bcd611f13b587079c04472be3522e7,5,,,2018-08-19 00:00:00,2018-08-20 10:44:00,0,1.4472222222248092,1,22,no text
23,ffd4bf4306745865e5692f69bd237893,04be91807ee519b0431bc3bdffbba030,1,,,2017-07-20 00:00:00,2017-07-20 12:45:00,0,0.53125,0,23,no text
24,ffd34459c21034d1da6df9800de0d7a3,04ff457ec2a069e6902d100eefabdab3,4,,,2018-02-15 00:00:00,2018-02-16 07:18:00,0,1.304166666668607,1,24,no text
25,ffd259a48b9b073c942884d0f3659566,050dd0a699c07b81037ee2cfa217fe6a,5,,,2017-08-15 00:00:00,2017-08-18 11:33:00,0,3.4812499999970896,1,25,no text
26,ffd246249e3225c13f40b5b91dcaa65a,05214b8d4f80cb6fa7701391796f0cbc,5,,,2017-10-28 00:00:00,2017-10-30 22:08:00,0,2.922222222223354,1,26,no text
27,ffd2365fb8224dc66883df9351d65deb,057c9a1e8e767d8bf6fa59ac43a82435,4,4,,2018-07-13 00:00:00,2018-07-14 17:25:00,0,1.7256944444452529,1,27,no text
28,ffcfaba393e8ef71937c6e8421bc2868,05c968cc75440c647f58e6bfe1ee15bb,4,,,2017-05-03 00:00:00,2017-05-04 01:11:00,0,1.0493055555562023,1,28,no text
29,ffce5ed9e0bcc2e46796b988cdac733b,0643e09decfa0910bdc5645ff1914b3c,5,,Entrega rápida produto conforme anunciado,2017-07-14 00:00:00,2017-07-17 10:52:00,5,3.452777777776646,1,29,short review
30,ffccf0ce5eff1a158891296990107d08,06aa3111724159bb69b8568181ec05c4,5,,bem rapido a entrega e bom comprar com vcs,2017-10-20 00:00:00,2017-10-23 20:54:00,9,3.8708333333343035,1,30,short review
31,ffc9d90bae2127e6a6ce6d6654267ebd,06f47dacd0575e592bf6a17e922ce6cd,1,não recebi ainda,aqui está descrevendo como entregue só que ate agora não recebi,2018-06-28 00:00:00,2018-06-29 16:34:00,11,1.6902777777795563,0,31,short review
32,ffc9caf33e2d1e9f44e3e06da19085f7,07234c593ecafa2ed6111b2f8fa8d7f6,3,,,2017-11-24 00:00:00,2017-11-24 18:29:00,0,0.7701388888890506,0,32,no text
33,ffc88104d219c1b767d566fd93653dd2,072aa82842434b050889c89a33c699a7,3,,,2017-11-15 00:00:00,2017-11-16 08:47:00,0,1.3659722222218988,0,33,no text
34,ffc48c754b5bd736e2887e279d1dec72,073075873e2d7603248cfc951ad7c2c8,5,,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,2017-07-22 00:00:00,2017-07-25 14:53:00,14,3.6201388888875954,1,34,short review
35,ffc0b406806006602c5853b00ab5f7fd,07405437bacbc37e029fe5f5e10cb4c3,5,Otima,Excelente,2018-07-06 00:00:00,2018-07-07 22:24:00,1,1.9333333333343035,1,35,short review
36,ffbfe460c6f140cdbe4f494be6dd43be,0758521cb28cad3246d91cefedeb3795,5,,,2017-02-11 00:00:00,2017-02-15 13:43:00,0,4.571527777778101,1,36,no text
37,ffbfa9e143fda4420454d0f4e88a3cd5,076e5ceb849c9ddf05cfb30bf223febb,5,,,2017-11-02 00:00:00,2017-11-02 15:30:00,0,0.6458333333357587,1,37,no text
38,ffbe3df3856b1fef3fee8f1264105a89,07a89e81e4631f2eb2111e4cf347f006,3,,,2018-08-29 00:00:00,2018-08-30 00:26:00,0,1.0180555555562023,0,38,no text
39,ffbe169d395060d7fb975c990581a329,07b48dbc11677f5021dbefcaba550ed2,5,,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",2017-07-26 00:00:00,2017-07-27 22:55:00,13,1.9548611111094942,1,39,short review
40,ffbceea72c6f921df4bb547275b9ca14,07f9bee5d1b850860defd761afa7ff16,5,,,2017-07-16 00:00:00,2017-07-18 19:30:00,0,2.8125,1,40,no text
41,ffbc83054b3741a8d67fc59d9cf9d42d,084a39ba9b337efa6cb122af96c4b5c2,5,,"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!",2017-07-29 00:00:00,2017-07-31 16:51:00,6,2.702083333329938,1,41,short review
42,ffbbf6b9097237a1122f17e7341a3fb2,0871369412bd49aef1b9f916700a9495,5,,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,2017-11-01 00:00:00,2017-11-02 10:50:00,11,1.4513888888905058,1,42,short review
43,ffbb3c00e9687ad738ace3977e821da5,08a54d189ccc3cec6cc2352e864d2de5,5,,,2018-03-29 00:00:00,2018-03-29 22:51:00,0,0.9520833333299379,1,43,no text
