Unnamed: 0,סוג מוצר,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,Accessories,,Appliances,,Art,,Bathroom,,Books,,Clothing,,Decor,,Furniture,,Gadgets,,Home Design,,Jewelry,,Kitchen Products,,Makeup,,Musical Instruments,,Pets,,Shoes,,Sports,,Toys,,Total OTD מצב,Total OTD
מדינת המוכר,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,OTD מצב,OTD,,
AC,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,,,,,1,1
BA,1,1,1,1,,,,,,,,,,,1,1,1,1,,,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1
CE,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1
DF,1,1,,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,0,0.8
ES,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1
GO,1,1,1,1,1,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG,1,1,1,1,1,1,0,0.75,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.75,1,1,0,0.8,1,1,1,0.9714285714285714
MT,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1
PB,1,1,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,1,1,1,1
PE,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1
PR,0,0.8333333333333334,1,1,1,1,0,0.8333333333333334,1,1,1,1,1,1,1,1,0,0.8888888888888888,0,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9690721649484536
RJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0.3333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.875,1,0.9605263157894737
RN,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,1,1
RS,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC,1,0.9166666666666666,1,1,1,1,1,1,0,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9883720930232558
SP,1,0.9787234042553191,1,0.9736842105263158,1,0.9215686274509803,1,0.96,1,1,1,0.95,1,1,1,1,1,1,1,0.9473684210526315,1,0.967741935483871,1,1,1,0.95,1,0.9782608695652174,1,0.9393939393939394,1,1,1,0.9375,1,1,1,0.9873417721518988
Grand Total,1,0.9736842105263158,1,0.9855072463768116,1,0.9473684210526315,1,0.9090909090909091,1,0.9615384615384616,1,0.9642857142857143,1,1,1,1,1,0.9444444444444444,1,0.953125,1,0.9807692307692307,1,0.9868421052631579,1,0.9661016949152542,1,0.984375,1,0.95,1,1,1,0.9552238805970149,1,0.9836065573770492,1,1
